# ----------------------------------------
# Visão geral do engajamento
# Conta: CRP SP
# Propriedade: Site - GA4
# ----------------------------------------
#  
# Data de início: 20241006
# Data de término: 20251006
0010,67.62982130651304
0011,60.923937784522
0012,52.927265272652726
0013,45.765607698391776
0014,57.15070321656466
0015,60.100692364487415
0016,59.793348687951124
0017,62.11928608810207
0018,64.92830088125012
0019,69.6109242313754
0020,78.51389273698793
0021,58.51903600900225
0022,70.1493259449177
0023,61.611947390017924
0024,62.19624973859702
0025,61.084237358468194
0026,97.36450509950612
0027,66.04261298021403
0028,68.72129572438405
0029,56.18875660074125
0030,58.601858549885925
0031,62.245272368049676
0032,64.73776167211311
0033,59.24315078338364
0034,63.78250412911825
0035,59.48720448452352
0036,59.59621246189977
0037,63.8423385647538
0038,56.07511139401655
0039,60.30000775614675
0040,66.32786591055918
0041,74.96134073617108
0042,60.96762170221041
0043,61.254116333771876
0044,70.86067898345219
0045,68.48333447402642
0046,67.02931085410465
0047,63.00606177606178
0048,58.884585241100524
0049,59.02379899793693
0050,60.36683680770882
0051,58.186172467385674
0052,62.5127356087621

#  
# Data de início: 20241006
# Data de término: 20251006
Nª semana,Visualizações
0000,64922
0001,63958
0002,64621
0003,58575
0004,58560
0005,64243
0006,63038
0007,93265
0008,67425
0009,68332
0010,60095
0011,28541
0012,65708
0013,379742
0014,244244
0015,197359
0016,297849
0017,161119
0018,150727
0019,138729
0020,160258
0021,101089
0022,158054
0023,137036
0024,129453
0025,151260
0026,101995
0027,80392
0028,89759
0029,84336
0030,107253
0031,96479
0032,96720
0033,92483
0034,95113
0035,76379
0036,55590
0037,74840
0038,93383
0039,69038
0040,77371
0041,77954
0042,82695
0043,138310
0044,91205
0045,86036
0046,124814
0047,72949
0048,66000
0049,73080
0050,54693
0051,57387
0052,11268

# Data de início: 20241006
# Data de término: 20251006
Nª semana,Contagem de eventos
0000,145855
0001,145043
0002,146213
0003,132523
0004,132459
0005,145470
0006,143014
0007,210312
0008,153061
0009,154993
0010,137051
0011,65782
0012,151268
0013,868482
0014,556091
0015,446537
0016,667546
0017,360740
0018,335636
0019,306490
0020,353882
0021,225652
0022,350590
0023,308403
0024,291147
0025,339220
0026,229448
0027,179631
0028,201041
0029,190997
0030,241378
0031,216754
0032,216137
0033,212214
0034,217673
0035,174932
0036,126920
0037,169230
0038,214087
0039,158327
0040,178009
0041,180429
0042,190165
0043,315059
0044,208954
0045,196002
0046,286020
0047,167045
0048,151302
0049,170226
0050,126259
0051,131729
0052,25434

#  
# Data de início: 20241006
# Data de término: 20251006
Nome do evento,Contagem de eventos
page_view,5455724
user_engagement,4309832
session_start,1903566
first_visit,679740

#  
# Data de início: 20241006
# Data de término: 20251006
Título da página e classe da tela,Visualizações
PSI Site do CRP SP,1181421
Inscrito,366067
Agendamento Administrativo,180978
Calendário de Eventos,95878
Notícia Anuidade e taxas 2025,87815
Notícia Saiba como contatar o CRP SP!,84845
Subsedes,84124
Eventos,68174
Perguntas Frequentes,49718
Região: Metropolitana,38692
Minhas Consultas,34581
Concursos,23431
Erro,20915
Not Found (#404),19846
Região: Campinas,19348
Publicação / Manuais - CRP SP Orienta,17666
Notícias,14650
Erro (#2),12651
Notícia A nova Carteira de Identidade Profissional (CIP) chegou!,12090
Região: Grande ABC,12080
Publicação / Manuais,11160
Região: Ribeirão Preto,10901
Calendário de Orientações,10835
Inscrição Pessoa Física,10635
Inscrição de Pessoa Física,10322
"Resultados para """"",10239
Legislação,9976
Publicação / Cartilhas,9360
Bad Request (#400),8966
Publicação / Caderno temático,8489
Região: Alto Tietê,8175
Região: Vale do Paraíba e Litoral Norte,7435
Notícia Anuidade 2024,7281
Publicação / Jornal PSI,7246
Região: Sorocaba,7085
Legislação / Resoluções CFP,7067
Região: Baixada Santista e Vale do Ribeira,6235
Certidão de Inscrição,6081
Impressos / Manuais - CRP SP Orienta,5964
Notícia Eleições CRP SP 2025,5816
Região: Bauru,5601
Impressos / Manuais,5113
Publicação / Livros,4918
Publicação / Diversos,4904
Notícia CRP SP publica Nota Orientativa sobre atendimentos psicológicos às pessoas no Espectro do Autismo (TEA),4670
Eventos que você participou,4507
"Resultados para ""Anuidade""",4326
"Resultados para ""anuidade""",4002
Região: Assis,3796
Documentos Escritos,3703
Reativação de Inscrição Pessoa Física,3699
Database Exception (#7),3615
Notícia Conselho Regional de Psicologia de São Paulo abre concurso público,3511
Região: São José do Rio Preto,3496
Notícia CRP SP oferece curso gratuito sobre saúde mental no trabalho; veja como se inscrever,3290
Notícia Curso gratuito sobre saúde mental no trabalho abre inscrições para 2ª turma,3232
Vídeos,3173
Impressos / Diversos,3038
Impressos / Jornal PSI,3004
Anuidade,2894
Orientações,2874
Notícia Já está disponível o pagamento à vista da anuidade do Conselho Regional de Psicologia de São Paulo (CRP SP) via Débito Direto Autorizado (DDA),2791
Tribunal de Justiça do Estado de São Paulo,2743
Cancelamento,2741
Notícias - Atendimento,2503
Notícia Inscreva-se no CRP SP e participe do CRP Acolhe!,2486
Notícia Inscrições abertas para o I Congresso de Psicologia Clínica do CRP SP,2347
Notícia Um Conselho que se constrói com as diferenças,2332
Alteração de Inscrição Provisória para Definitiva,2292
Legislação / Notas Técnicas,2275
Impressos / Caderno temático,2262
Publicação / CREPOP,2223
"Resultados para ""boleto""",2142
TRIBUNAL SUPERIOR ELEITORAL (TSE),2013
Notícias - boleto,1996
"Resultados para ""Boleto""",1865
Notícia Campanha do Agasalho 2025: o CRP SP e Cruz Vermelha São Paulo convidam a categoria a aquecer vidas,1859
"Resultados para ""Anuidade 2025""",1848
"Notícia Atendimento psicológico de crianças e adolescentes exige cuidados éticos, legais e técnicos",1845
Legislação / Resoluções CRP SP,1843
"Resultados para ""cip""",1801
"Notícia Já pensou em colaborar com o CRP SP na construção de uma Psicologia mais ética, responsável e qualificada?",1787
Impressos / Cartilhas,1702
"Resultados para ""anuidade 2025""",1668
Legislação / Leis,1636
Notícia Pré-Corepsis têm data marcada,1602
Contate a Comissão de Orientação e Fiscalização da Subsede mais próxima,1576
"Notícia Estação Psicologia, o podcast do CRP SP, tem nova temporada",1573
Transferências / Inscrições Secundárias,1570
Notícia Participe do CRP Acolhe! O momento de acolhimento e apresentação do CRP SP às/aos novas/os inscritas/os,1567
Notícia CRP SP recebe inscrições para mostra sobre experiências de atuação na Rede de Assistência Psicossocial,1546
Notícia Sugestão de 30 horas semanais é aprovada na CDH do Senado,1454
Notícia Você conhece o primeiro princípio fundamental do Código de Ética Profissional da/o Psicóloga/o?,1440
FAMESP-RH,1432
Notícia Alerta: tentativa de golpe por telefone em nome do CRP SP,1430
Publicações,1387
Galeria de Fotos,1386
Legislação / Gerais,1323
Impressos / Livros,1265
Impressos / CREPOP,1254
Notícia CRP SP lança nota orientativa sobre atendimento a usuárias/os de maconha,1200
Inscrição Pessoa Jurídica / Responsabilidade Técnica,1176
Fale Conosco,1114
"Notícia Campanha ""A Psicologia que Transforma"": envie sua mensagem",1108
"Notícia Saúde mental no trabalho, riscos psicossociais e o papel da Psicologia",1066
Notícia Jornada de 30h semanais e trabalho híbrido para todas/os as/os trabalhadoras/es do CRP SP,1060
"Resultados para ""CIP""",1050
Notícia Confira os resultados das Eleições 2025 do CFP e do CRP SP,1038
"Resultados para ""Cip""",998
Município de Votuporanga - SP,975
Notícias - ANUIDADE,965
Legislação / Decretos,963
"Resultados para ""login""",938
Notícias - nova CIP,909
Legislação / Portaria CRP SP,873
Notícia 50 anos do Conselho Regional de Psicologia de São Paulo: é conhecendo que a gente se entende,866
Notícia CRP SP convoca categoria para atualização cadastral e participação nas eleições 2025,836
"Resultados para ""inscrição""",813
Notícia Convocação para Assembleia Geral Orçamentária 2025,795
Cadastro de Mediadores da Câmara de Mediação da Comissão de Ética - CRP SP,792
Notícia Informes sobre anuidade 2023,763
Notícia Eleições CRP SP: período de inscrição de chapas será de 18/02 a 22/03,748
Notícia Agendamento Administrativo sem dúvidas - conheça as facilidades do novo sistema,729
"Resultados para ""Agendamento""",719
Notícia CRP SP lança campanha “Psi Sangue Bom” para incentivar doação de sangue,701
"Resultados para ""Concurso""",691
Notícia CRP SP lança Revista Práticas Psi,659
"Resultados para ""crp acolhe""",655
Notícia A edição 206 do Jornal Psi já está no ar!,648
Database Exception,642
Notícia Você conhece os canais de atendimento do CRP SP?,612
Notícia Principais motivos dos processos éticos no CRP SP,600
Notícia CFT aprova jornada de 30 horas para psicólogas e psicólogos em votação histórica,583
Atualização Cadastral,577
Notícia CRP SP lança guia e cartilhas para orientar o atendimento a pessoas com deficiência,570
Notícia Psicologia sem capacitismo: Como produzir documentos éticos e inclusivos?,570
Notícia Dificuldades para emitir o recibo digital? Saiba o que pode estar acontecendo!,561
Atendimento Psicológico On-line,534
"Notícia Atendimento administrativo - anuidade, solicitação e cancelamento de inscrição",531
"Resultados para ""Inscrição""",510
Notícia CFP orienta profissionais sobre atendimento on-line,509
Publicidade Profissional e Uso de Mídias e Redes Sociais,509
Denúncia / Representação / Processo Ético,505
Publicidade Profissional,500
"Resultados para ""Boleto 2025""",476
"Notícia Atenção, psicólogas e psicólogos: nova obrigatoriedade para emissão de recibos em 2025",461
"Resultados para ""Login""",456
Notícia CRP SP lança Manual de Produção de Prontuários e Documentos Escritos,453
Notícia Quais as orientações para prestação de serviços psicológicos on-line?,434
Notícias - CRP Acolhe,434
Notícia Ulapsi 2025 - Abertas as inscrições de trabalhos,429
"Resultados para ""Consulta""",428
Neuropsicologia,414
Notícia Concurso preencherá 27 vagas,413
Notícia CRP SP responde: Atendimento à distância - cadastre-se no e-Psi!,406
Notícia Congresso de Psicologia Clínica do CRP SP se consolida como espaço de debate e atualização profissional,404
"Resultados para ""certidão de regularidade""",404
"Resultados para ""Acolhe""",403
"Resultados para ""certidão""",401
"Resultados para ""Eleições""",399
"Resultados para ""Crp acolhe""",383
"Resultados para ""boleto 2025""",383
"Resultados para ""votação""",382
Notícia Nova funcionalidade do app e-CIP permite coleta biométrica remota para emissão da Carteira de Identificação Profissional da Psicologia,380
Notícia #CRPSPNaMidia: CRP SP alerta sobre o uso da inteligência artificial no contexto da Psicologia,378
"Resultados para ""crp""",374
"Resultados para ""Crp""",371
Notícia CRP SP lança os anais do I Congresso de Psicologia Clínica,370
Notícia CRP SP apresenta nova CIP à categoria e estenderá a isenção de custo da carteirinha às psicólogas e aos psicólogos inscritos até 2022,369
Notícia Audiência Pública: 30 horas e piso salarial para a Psicologia,361
Notícia Conheça o novo sistema de Agendamento Administrativo do CRP SP,361
Notícia CRP SP convoca a categoria para escolha da Comissão Regional Eleitoral de 2025,359
Notícia Resolução CFP nº 01/2009 - Orientação sobre registros documentais,356
"Resultados para ""acolhe""",354
"Resultados para ""consulta""",344
Notícia Atenção para emissão dos boletos das anuidades do CRP SP,341
"Resultados para ""certidão negativa""",340
"Resultados para ""eleições""",340
Notícia Perdeu a live sobre Receita Saúde? Assista agora,338
Notícia Saiba como votar nas Eleições CRP SP - 23 a 27/08/2022,337
"Resultados para ""eleição""",328
"Resultados para ""atendimento online""",324
Notícia Como justificar a ausência de voto nas Eleições do Sistema Conselhos de Psicologia?,322
Registro de Especialista,321
"Resultados para ""cancelamento""",321
"Resultados para ""boletos""",318
"Resultados para ""requerimento""",317
Notícia Convocatória para Eleições 2025: participe de 23 a 27 de agosto,316
Notícias - CRP SP,316
"Resultados para ""ANUIDADE""",315
"Resultados para ""agendamento""",313
Notícias - TELEFONE,307
"Resultados para ""concurso""",307
Notícia CRP SP disponibiliza boletos da anuidade de 2022,306
Notícia Chupeta para adultos: CRP SP participa de matéria da Saúde Abril,302
"Resultados para ""carteirinha""",299
Notícia #CRPSPNaMidia: CRP SP emite nota sobre anulação de registro de influenciadora digital,298
"Resultados para ""Certidão""",297
Notícia CRP SP implementa Chatbot em seus canais de atendimento,287
Notícia Resultado parcial da votação já está disponível,285
Notícia Nota de pesar - Cláudia Vieira Carnevalle,284
"Resultados para ""declaração""",279
Notícia CRP SP destaca evento sobre parentalidade positiva e a Lei nº 14.826/2024 realizado pelo Tribunal de Justiça do Estado de São Paulo,276
"Notícia Maior congresso de Psicologia Clínica do Brasil, totalmente gratuito, reunirá mais de 1.700 participantes e terá transmissão ao vivo",274
Notícia NOTA PÚBLICA: repúdio a ato de injúria racial,268
"Resultados para ""CRP acolhe""",267
Inadimplência,266
"Resultados para ""Honorários""",262
"Notícia Diferenças que constroem, compromisso social e ético da Psicologia",260
Notícia CRP SP lança Jornal Psi 208,258
Criança e Adolescente,257
"Resultados para ""cadastro""",257
"Resultados para ""2025""",254
"Resultados para ""Boletos""",254
Prontuário / Registro Documental,243
"Resultados para ""Denuncia""",243
Publicação / Quadrinhos,242
"Resultados para ""Requerimento""",242
"Resultados para ""Eleição""",241
Notícia CRP SP lança série de vídeos sobre CREPOP e Referências Técnicas,240
Notícia III Prêmio Jonathas Salathiel de Psicologia e Relações Raciais tem prazo de inscrições prorrogado até 5 de maio,240
"Resultados para ""Concursos""",240
Notícia CFP divulga novos cursos credenciados,237
"Resultados para ""documentos""",236
"Resultados para ""Declaração""",233
"Resultados para ""Votação""",233
Avaliação Psicológica / Testes Psicológicos,232
Notícia CRP orienta psicólogos RT de empresas que prestam serviços de Psicologia,232
Notícia CRP SP realiza Semana de Direitos Humanos,228
Notícia Acompanhe a transmissão do Seminário estadual do Crepop — Referências técnicas para atuação de psicólogas/os na Saúde pelo YouTube,226
"Resultados para ""Certidão de regularidade""",226
Notícia #CRPSPNaMídia - Conselheira do CRP SP explica como a divulgação de atendimentos nas redes sociais pode configurar infração ao Código de Ética,225
Notícia CRP SP lança cartilha sobre Receita Saúde com orientações sobre a emissão obrigatória de recibos digitais,225
"Resultados para ""biometria""",225
"Resultados para ""Consulta crp""",224
"Notícia CRP SP informa, com pesar, o falecimento da psicóloga Maria Lúcia Berto Daher",223
Notícia Ulapsi 2025: inscrição de trabalhos até 30 de abril,223
"Notícia Última Apaf de 2024 debateu diretrizes sobre exercício profissional, diversidade e ações afirmativas",223
Notícias - direitos humanos,223
Contrato de Trabalho / Honorários,222
Notícia CRP SP formaliza jornada de 30 horas semanais e teletrabalho em regime híbrido para trabalhadoras/es,222
"Resultados para ""Cadastro""",222
Notícia Anuidade 2019,219
"Notícia Consulta pública sobre a atualização da Tabela de Referência Nacional de Honorários das/os Psicólogas/os, lançada pela FENAPSI em parceria com o CFP até dia 29 de outubro",219
Notícia Justificativa de voto,219
"Resultados para ""Carteirinha""",219
"Resultados para ""Congresso""",219
"Resultados para ""pagamento""",218
"Resultados para ""pessoa juridica""",217
Notícia Faltam seis semanas para as eleições do CRP SP,214
Notícia Grandes nomes da Psicologia no I Congresso de Psicologia Clínica,213
Psicologia do Trâfego,212
Notícia 1º Congresso de Psicologia Clínica do CRP SP abre vagas para monitoria,211
Notícia Descentralização do CRP SP visa aprimorar a eficiência e o atendimento à categoria,210
Notícia Psicólogo (a): faça seu recadastramento no Sistema de Cadastro Nacional,210
Atuação no Judiciário,207
"Resultados para ""Certidão negativa""",206
"Resultados para ""denuncia""",206
"Resultados para ""Anuidades""",204
"Resultados para ""e-psi""",203
"Resultados para ""financeiro""",201
"Resultados para ""Eleições 2025""",199
Notícia CRP SP divulga resultado de IX Prêmio Arthur Bispo do Rosário,196
"Resultados para ""anuidade 2024""",192
Notícia CRP SP publica Nota Orientativa sobre atuaçãoda Psicologia no combate à discriminação racial às pessoas pretas,191
Notícia Eleições 2025: três chapas são homologadas para concorrer à próxima gestão do CRP SP,191
"Resultados para ""Código de ética""",190
Notícia CRP SP publica Nota Orientativa sobre a atuação da Psicologia nas Políticas Públicas em defesa dos direitos da população idosa,189
Local de Atendimento,188
Notícia #CRPArticula - Relatório de inspeções do MNPCT é lançado com participação do CRP SP,186
Notícia Para uma Psicologia ética e segura: conheça o CRP SP Orienta,184
Notícia Uma História da Psicologia Organizacional e do Trabalho,182
"Resultados para ""votar""",182
"Resultados para ""Consultar crp""",180
"Resultados para ""carteira""",179
Notícias - funcionamento,175
"Resultados para ""CRP""",175
"Notícia Luto gestacional, nova NR-1 e bebês reborn: CRP SP participa de matérias sobre temas que impactam a sociedade",174
"Resultados para ""Requerimento de inscrição de pessoa jurídica/‌ficha cadastral""",174
Estágio / Serviço Escola,172
Notícias - carteira de trabalho,171
Sigilo Profissional,171
"Resultados para ""cursos""",170
Notícia Análise de Título de Especialista em Psicologia do Trânsito,169
Notícia CRP SP informa: Resolução CFP nº 5 autoriza requerimento de inscrição de pessoas físicas e jurídicas de forma on-line,169
"Resultados para ""Certificado""",169
"Resultados para ""Financeiro""",169
"Resultados para ""BOLETO""",167
Notícias - lista-de-noticias,166
"Resultados para ""certificado""",166
Notícia CRP SP Representa: acompanhe as representações do Conselho Regional de Psicologia de São Paulo,165
Notícia CRP SP comunica recesso de Carnaval,165
Notícia CRP SP lança Guia Prático sobre Acessibilidade para profissionais de Psicologia,165
"Resultados para ""Cursos""",163
"Resultados para ""Boleto anuidade""",160
"Resultados para ""consulta crp""",160
Notícia #CRPSPNaMídia - Vice-presidenta do CRP SP comenta decisão do TJPS em condenar pessoa pelo exercício ilegal da Psicologia,158
Notícia CRP SP realiza Assembleia Orçamentária e define propostas para o exercício 2025,158
Notícia CRP SP responde: Problemas com o e-Psi?,158
"Resultados para ""recibo""",158
Notícia Eleição definiu Comissão Regional Eleitoral do CRP SP,156
Número 37/Prontuários e registro documental dos serviços de Psicologia,154
"Resultados para ""Eventos""",152
"Resultados para ""Atendimento online""",151
Tempo de Atendimento,151
Isenção,150
"Resultados para ""Pagamento""",150
"Notícia CRP SP, Receita Federal e CRC SP realizam live para tirar dúvidas sobre CNPJ para psicólogas/os",149
Vol. 1 - Psicologia e Preconceito Racial/Responsabilidade técnica de empresa inscrita no CRP,149
Número 12/Requisitos para o Exercício Profissional em Psicologia,147
Práticas Reconhecidas / Não Reconhecidas,146
Notícia Eleições CRP SP: debate entre chapas concorrentes será on-line,145
"Resultados para ""Pessoa jurídica""",145
"Resultados para ""telefone""",145
Notícia Nova portaria do DETRAN-SP regulamenta o credenciamento e a atividade de psicólogas/os,143
Notícia Site do CRP SP ganha nova página inicial,143
"Resultados para ""Anuidade 2024""",143
"Resultados para ""Especialista""",143
"Resultados para ""cnpj""",143
"Resultados para ""parcelamento""",142
Notícia CRP SP abre inscrições para o 25º Encontro de Serviços-Escola de Psicologia,140
Notícia Nota à imprensa: caso da denúncia de crime revelado à psicólogo em Ubatuba,140
Assistência Social,139
Notícia Ausência de CIP não impede o exercício da profissão!,139
Notícia Saiba como se preparar para a Assembleia Geral Extraordinária sobre a nova CIP e o certificado digital,139
"Resultados para ""Consulta profissional""",139
Notícia Psi Sangue Bom: campanha de doação de sangue continua com nova fase,138
"Resultados para ""Curso""",138
"Resultados para ""Profissional""",138
Vínculo com a pessoa atendida,138
Notícia Nota elucidativa: a Psicologia no contexto da Análise do Comportamento Aplicada (ABA),135
"Resultados para ""Documentos""",135
"Notícia Atenção, psicóloga/o: novo formato de boleto para anuidade de 2017",134
Notícia Deixou de pagar a primeira parcela da anuidade?,134
Notícia Diploma universitário digital: saiba o que muda para novos registros no CRP SP,134
Notícia Você conhece as normativas do Sistema Conselhos para a elaboração de documentos escritos?,134
"Resultados para ""Cancelamento""",134
"Resultados para ""consultar crp""",134
Notícia Convênio <br />Conselho renova parceria com o SESC,133
Notícia O boleto da última parcela da anuidade de 2020 já pode ser gerado no site,133
"Resultados para ""transferencia""",133
"Resultados para ""Carteira""",132
"Resultados para ""Votar""",132
Notícias - Agendamento Administrativo,131
Notícias - anuidades,131
"Resultados para ""especialista""",131
"Resultados para ""atestado""",129
"Notícia I Seminário Psicologia, Direitos Humanos e Envelhecimento será transmitido pelo canal do CRP SP no YouTube",128
Notícia Violência sexual contra psicólogas no atendimento psicológico,128
"Resultados para ""Tabela""",128
"Resultados para ""aviso de recebimento""",128
Notícia CRP SP lança livreto com artigos premiados na III Edição do Prêmio Jonathas Salathiel,127
Notícia CRP SP publica Nota Orientativa sobre aspectos éticos e científicos do uso de substâncias psicodélicas,127
Notícia Diploma digital: segurança e confiabilidade para profissionais e para a sociedade,127
Número 17/Orientações Sobre a Prática Profissional,127
"Resultados para ""Atendimento""",127
"Resultados para ""anuidades""",127
"Resultados para ""eleições 2025""",127
"Resultados para ""registro""",127
Notícia FAQ do CRP SP: as dúvidas mais frequentes da profissão em um só lugar,126
Notícia CRP SP publica nota orientativa sobre a atuação da Psicologia em cuidados paliativos,125
"Resultados para ""congresso""",125
Notícia Dia Mundial de Conscientização do Autismo: Psicologia comprometida com a diversidade,124
"Notícia Participe do evento “A Psicologia do Esporte: história, conceitos e práticas”",124
"Notícia Consulta pública do Crepop: Atuação de psicólogas(os) na gestão integral de riscos, emergências e desastres",123
Notícia Plantão de dúvidas: mande sua pergunta para o CRP SP,123
Notícia Saiba como estão funcionando as análises de títulos de especialista,123
"Resultados para ""contrato""",123
Notícia CRP SP realiza 2444ª Plenária Ordinária na Subsede Metropolitana,122
"Resultados para ""Telefone""",122
Notícia CRP SP na Semana da Diversidade de São Paulo 2025; leia o manifesto “Não há cura pra quem não está doente”,121
"Resultados para ""Registro""",121
"Resultados para ""carteira profissional""",121
Notícia 25º Encontro de Serviços-Escolas de Psicologia – Inscrições abertas,119
"Resultados para ""Título de especialista""",119
"Resultados para ""email""",119
"Resultados para ""isenção""",119
Notícia CRP SP responde: Quais as orientações às/aos psicólogas/os com relação à atuação no atendimento a mulheres em situação de violência durante a pandemia de Covid-19?,118
Notícia Confira a programação do I Congresso de Psicologia Clínica e Psicoterapias,118
Publicação / Revista Práticas Psi,118
"Resultados para ""Contato""",118
Notícia CRP SP prorroga inscrições para III Prêmio Jonathas Salathiel de Psicologia e Relações Raciais,117
Notícia Últimos dias para inscrição no III Prêmio Jonathas Salathiel de Psicologia e Relações Raciais,117
"Resultados para ""certidao""",117
"Resultados para ""concursos""",117
Concursos Públicos,116
"Resultados para ""ANUIDADE 2025""",114
"Resultados para ""reativação""",114
"Resultados para ""regularidade""",113
Notícia Atualize seu cadastro no CRP SP e esteja com os dados em dia para as Eleições do Sistema Conselhos 2022!,112
"Notícia Está no ar “Caminhos da Psicologia no Brasil: 60 anos de profissão”, nova série de podcast do CRP SP",112
Exercício Ilegal / Irregular,110
Notícia O CRP SP e o SESC mantêm acordo firmado para que os psicólogos inscritos e os funcionários do Conselho possam se associar à entidade,110
"Resultados para ""Biometria""",110
"Resultados para ""Tabela de honorários""",110
Notícia Concluiu a graduação e quer fazer sua inscrição no CRP SP? Saiba como!,109
Notícias - crp-sp,109
Notícia CRP SP lança aplicativo,108
"Notícia Durante Apaf, CRP SP propõe criação de Grupo de Trabalho nacional sobre inteligência artificial na Psicologia",108
Notícia Alerta de golpe com o uso do nome do CRP SP,107
Notícia CRP SP abre edital para doação de bens a entidades e órgãos públicos,107
Notícia CRP SP realiza atividade formativa para trabalhadoras/es,107
Notícia Conheça as chapas de São Paulo para as Eleições do Sistema Conselhos de Psicologia!,107
"Resultados para ""Denúncia""",107
"Resultados para ""boleto anuidade""",107
Notícia CRP SP realiza primeira Plenária Ordinária da gestão 2025-2028,106
Notícia Lei Maria da Penha: 19 anos de enfrentamento à violência contra as mulheres,106
Notícia Saiba como entrar em contato com o CRP SP em caso de linhas telefônicas congestionadas,106
"Resultados para ""epsi""",106
Notícia Nota de pesar – Carlos Alberto Aleixo,104
"Resultados para ""receita saude""",104
"Resultados para ""testes""",104
Notícia CRP SP promove seminário sobre Psicologia e Execução Penal com foco em Direitos Humanos e saúde mental no sistema prisional,103
"Resultados para ""contato""",103
"Resultados para ""transferência""",103
Notícia CRP SP entrega relatório de gestão de 2024 para CFP,102
Notícia Fórum de Representantes do CRP SP destaca desafios e urgência na participação social,102
Notícia Principais cuidados para a publicidade profissional nas redes sociais,102
"Resultados para ""Email""",101
"Resultados para ""cancelar agendamento""",101
Notícia CRP SP informa,100
"Resultados para ""Transferência""",100
"Resultados para ""valores""",100
Atendimento Emergencial / Voluntário,98
"Resultados para ""Cancelar agendamento""",98
Sindicato / Questões Trabalhistas,98
"Resultados para ""código de ética""",97
"Resultados para ""curso""",96
"Resultados para ""ouvidoria""",96
"Resultados para ""rt""",96
Notícia CRP SP divulga documento sobre as atividades de estágio em Psicologia,95
"Resultados para ""Boleto anuidade 2025""",95
Notícia CRP SP estará em recesso de 20 de dezembro a 05 de janeiro,94
Notícia Nota Técnica de orientação a profissionais de Psicologia que atuam direta ou indiretamente no Poder Judiciário,94
"Resultados para ""Consultar""",94
"Resultados para ""Ouvidoria""",94
"Resultados para ""avaliação psicológica""",94
Notícia CRP SP participa de matérias sobre hiperconectividade e violência nas escolas,93
"Resultados para ""diploma""",93
"Resultados para ""prontuário""",93
